source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
"There we go, okay.",その調子だよ。,Time: 0:05:46.751000,,0:05:46.751000,0:05:48.122000,0:05:46.751000,0:05:48.122000
"Two more,",あと２個！,Time: 0:05:48.545000,,0:05:48.545000,0:05:49.515000,0:05:48.545000,0:05:49.515000
balancing here.,バランスとって～,Time: 0:05:49.515000,,0:05:49.515000,0:05:50.741000,0:05:49.515000,0:05:50.741000
"Reach down,",ブドウを～、,Time: 0:05:50.741000,,0:05:50.741000,0:05:51.723000,0:05:50.741000,0:05:51.723000
"that's it, and one more.",ゲット！、あと１個！,Time: 0:05:52.181000,,0:05:52.181000,0:05:54.762000,0:05:52.181000,0:05:54.762000
"Yes,",よしっ！,Time: 0:05:55.883000,,0:05:55.883000,0:05:56.664000,0:05:55.883000,0:05:56.664000
"these silly grapes, they should never be allowed to wander around all by themselves.",このブドウたち、もう絶対ひとりでうろうろさせないんだから。,Time: 0:05:56.996000,,0:05:56.996000,0:06:01.135000,0:05:56.996000,0:06:01.135000
I'm glad we got them all.,全員助けれてよかった。,Time: 0:06:01.204000,,0:06:01.204000,0:06:02.816000,0:06:01.204000,0:06:02.816000
"According to the map, our last fruit, the pineapple, is bobbing around in the chocolate river.",地図によると、最後のフルーツ、パイナップルがチョコレートの川でプカプカ浮いてるみたい。,Time: 0:06:03.353000,,0:06:03.353000,0:06:08.258000,0:06:03.353000,0:06:08.258000
"Now,",よし、,Time: 0:06:09.356000,,0:06:09.356000,0:06:10.120000,0:06:09.356000,0:06:10.120000
I've got an idea.,いいアイデアがあるよ,Time: 0:06:10.120000,,0:06:10.120000,0:06:11.454000,0:06:10.120000,0:06:11.454000
Let's hop on our chocolate slab,チョコレートの板と,Time: 0:06:11.538000,,0:06:11.538000,0:06:13.584000,0:06:11.538000,0:06:13.584000
and use a lollipop to row them out,ロリポップを使って、探しにいこう。,Time: 0:06:13.625000,,0:06:13.625000,0:06:16.072000,0:06:13.625000,0:06:16.072000
before they get way too soggy.,この板がとけちゃうまでにね,Time: 0:06:16.144000,,0:06:16.144000,0:06:17.874000,0:06:16.144000,0:06:17.874000
"To do that,",そのため,Time: 0:06:18.684000,,0:06:18.684000,0:06:19.245000,0:06:18.684000,0:06:19.245000
"kneel just like this,",片ひざを床につけて,Time: 0:06:19.415000,,0:06:19.415000,0:06:20.973000,0:06:19.415000,0:06:20.973000
and then take your giant lollipop,それから、巨大なロリポップをもって、,Time: 0:06:20.977000,,0:06:20.977000,0:06:23.416000,0:06:20.977000,0:06:23.416000
and row on either side of your body just like this to get the pineapples out.,わたしみたいにロリポップを漕いで、パイナップルを助け出そう。,Time: 0:06:24.082000,,0:06:24.082000,0:06:27.739000,0:06:24.082000,0:06:27.739000
"Ready, kids? Let's go.",準備はいい？いくよ,Time: 0:06:28.259000,,0:06:28.259000,0:06:30.018000,0:06:28.259000,0:06:30.018000
"All right, hold on to your lollipop.",ロリポップをしっかり持って～。,Time: 0:06:30.018000,,0:06:30.018000,0:06:31.827000,0:06:30.018000,0:06:31.827000
Let's start rowing.,漕ぎ始めるよ。,Time: 0:06:31.855000,,0:06:31.855000,0:06:33.177000,0:06:31.855000,0:06:33.177000
That's it.,その調子。,Time: 0:06:33.641000,,0:06:33.641000,0:06:34.546000,0:06:33.641000,0:06:34.546000
"Okay, now this is tricky.",大変だね,Time: 0:06:34.934000,,0:06:34.934000,0:06:37.097000,0:06:34.934000,0:06:37.097000
"So again, focus it, kids.",みんな、集中して。,Time: 0:06:37.409000,,0:06:37.409000,0:06:39.491000,0:06:37.409000,0:06:39.491000
Side to side across the body just like that.,体の横でこんなふうに動かしてね,Time: 0:06:39.562000,,0:06:39.562000,0:06:42.487000,0:06:39.562000,0:06:42.487000
"Oh, there's our first pineapple.",あっ、最初のパイナップル発見！,Time: 0:06:42.532000,,0:06:42.532000,0:06:44.268000,0:06:42.532000,0:06:44.268000
"Yes, we got it.",やった、捕まえた！,Time: 0:06:44.270000,,0:06:44.270000,0:06:45.760000,0:06:44.270000,0:06:45.760000
Excellent.,いいね！,Time: 0:06:45.765000,,0:06:45.765000,0:06:46.644000,0:06:45.765000,0:06:46.644000
"I mean, it looks like a pineapple spot here.",何だかパイナップルのいえみたいだね。,Time: 0:06:47.037000,,0:06:47.037000,0:06:49.658000,0:06:47.037000,0:06:49.658000
They look so relaxed in this chocolate river.,自分の家みたいにリラックスしてるよ。,Time: 0:06:49.658000,,0:06:49.658000,0:06:52.103000,0:06:49.658000,0:06:52.103000
"And I'm not gonna lie,",実は,Time: 0:06:52.222000,,0:06:52.222000,0:06:53.498000,0:06:52.222000,0:06:53.498000
I could do with a cheeky taste.,ちょっとだけ味見してみたいな,Time: 0:06:53.498000,,0:06:53.498000,0:06:55.355000,0:06:53.498000,0:06:55.355000
"There we go, another one.",もうひとつ見つけたよ,Time: 0:06:55.831000,,0:06:55.831000,0:06:57.334000,0:06:55.831000,0:06:57.334000
"Excellent, keep it up.",その調子！,Time: 0:06:57.334000,,0:06:57.334000,0:06:58.912000,0:06:57.334000,0:06:58.912000
"All right, let's row a little bit faster.",ちょっと速く漕いでみよう。,Time: 0:06:58.921000,,0:06:58.921000,0:07:00.323000,0:06:58.921000,0:07:00.323000
"Come on, everyone.",頑張ろう、,Time: 0:07:00.491000,,0:07:00.491000,0:07:01.426000,0:07:00.491000,0:07:01.426000
There's another one.,また見つけたよ。,Time: 0:07:01.694000,,0:07:01.694000,0:07:02.910000,0:07:01.694000,0:07:02.910000
"Yes, well done.",よくやったね。,Time: 0:07:02.988000,,0:07:02.988000,0:07:04.152000,0:07:02.988000,0:07:04.152000
It's a bit wobbly.,わ、ちょっと危ない。,Time: 0:07:04.341000,,0:07:04.341000,0:07:05.998000,0:07:04.341000,0:07:05.998000
Keep your tummy tight.,みんな、お腹に力入れて,Time: 0:07:05.998000,,0:07:05.998000,0:07:08.268000,0:07:05.998000,0:07:08.268000
Try not to fall in.,落ちないように。,Time: 0:07:08.347000,,0:07:08.347000,0:07:09.393000,0:07:08.347000,0:07:09.393000
"Let's go. Come on, everyone.",いくよ、みんな、,Time: 0:07:09.662000,,0:07:09.662000,0:07:11.620000,0:07:09.662000,0:07:11.620000
"Oh, this chocolate looks so yummy.",お、このチョコは美味しそう,Time: 0:07:12.164000,,0:07:12.164000,0:07:14.699000,0:07:12.164000,0:07:14.699000
Keep it up.,頑張って,Time: 0:07:14.789000,,0:07:14.789000,0:07:15.957000,0:07:14.789000,0:07:15.957000
"Yes, we got the last one.",最後一つもゲット！,Time: 0:07:16.046000,,0:07:16.046000,0:07:17.858000,0:07:16.046000,0:07:17.858000
"Great rowing, kids. We have them all.",よく頑張ったね、全部つかまえたよ。,Time: 0:07:18.292000,,0:07:18.292000,0:07:20.804000,0:07:18.292000,0:07:20.804000
And we used a chocolate slab and a lollipop.,チョコレートの板とロリポップを使ったのは,Time: 0:07:20.996000,,0:07:20.996000,0:07:23.585000,0:07:20.996000,0:07:23.585000
How cool.,よかったね。,Time: 0:07:23.829000,,0:07:23.829000,0:07:24.540000,0:07:23.829000,0:07:24.540000
"Well done, team. We've saved all the fruit.",全部のフルーツを救えたね！！！！！！,Time: 0:07:25.594000,,0:07:25.594000,0:07:27.951000,0:07:25.594000,0:07:27.951000
"Now, according to the map, the only way to get out of Candyland and to keep these fruits safe is to go across the Biscuit Bridge.",地図によると、キャンディとうを抜けてフルーツを守るためには、ビスケットの橋を渡るしかないみたい。,Time: 0:07:28.043000,,0:07:28.043000,0:07:35.335000,0:07:28.043000,0:07:35.335000
"Sounds pretty cool. All right, let's grab the bag, everyone.",すごく面白そうだね！じゃあ、みんな、バッグを持って,Time: 0:07:36.578000,,0:07:36.578000,0:07:39.601000,0:07:36.578000,0:07:39.601000
"Oh, it's heavy. Come on.",わぁ、重たい,Time: 0:07:41.112000,,0:07:41.112000,0:07:42.724000,0:07:41.112000,0:07:42.724000
Yes.,よし、,Time: 0:07:43.590000,,0:07:43.590000,0:07:44.185000,0:07:43.590000,0:07:44.185000
"Now, I've got a bit of a crazy idea.",みんな聞いて、私に面白いアイデアがあるの。,Time: 0:07:45.407000,,0:07:45.407000,0:07:49.008000,0:07:45.407000,0:07:49.008000
"We made it across the Biscuit Bridge,",ビスケットの橋を渡ったけど、,Time: 0:07:49.189000,,0:07:49.189000,0:07:51.257000,0:07:49.189000,0:07:51.257000
but what if we now smash the Biscuit Bridge,フルーツがこっそり入っていって,Time: 0:07:51.357000,,0:07:51.357000,0:07:54.182000,0:07:51.357000,0:07:54.182000
to keep all of our fruit nice and safe,きけんな目に合わないように,Time: 0:07:54.292000,,0:07:54.292000,0:07:56.298000,0:07:54.292000,0:07:56.298000
and to keep them from sneaking in all the time?,この橋を壊しちゃおう！,Time: 0:07:56.415000,,0:07:56.415000,0:07:58.819000,0:07:56.415000,0:07:58.819000
"Luckily, we've got this Popsicle as a hammer",橋を壊すためにこのアイスキャンディーを,Time: 0:07:59.329000,,0:07:59.329000,0:08:02.106000,0:07:59.329000,0:08:02.106000
that we can use to smash it.,ハンマーにしよう。,Time: 0:08:02.138000,,0:08:02.138000,0:08:03.955000,0:08:02.138000,0:08:03.955000
"All right, to do that, we're gonna pick up our Popsicle",じゃあ、アイスキャンディーをもって～、,Time: 0:08:04.157000,,0:08:04.157000,0:08:07.084000,0:08:04.157000,0:08:07.084000
and then do a figure of eight,こんなふうに八の字を,Time: 0:08:07.160000,,0:08:07.160000,0:08:09.200000,0:08:07.160000,0:08:09.200000
"just like this,",かいてみよう。,Time: 0:08:09.200000,,0:08:09.200000,0:08:10.220000,0:08:09.200000,0:08:10.220000
"and then squat down,",スクワットして、,Time: 0:08:10.776000,,0:08:10.776000,0:08:12.186000,0:08:10.776000,0:08:12.186000
smash the bridge just like that.,橋を壊すよ！！,Time: 0:08:12.186000,,0:08:12.186000,0:08:14.334000,0:08:12.186000,0:08:14.334000
"Ready, kids? Let's go.",準備はいい,Time: 0:08:14.847000,,0:08:14.847000,0:08:16.554000,0:08:14.847000,0:08:16.554000
"All right, pick up your Popsicle.",アイスキャンディーを持って～。,Time: 0:08:16.554000,,0:08:16.554000,0:08:18.901000,0:08:16.554000,0:08:18.901000
"Figure of eight, nice and controlled.",八の字を上手に描いて,Time: 0:08:18.901000,,0:08:18.901000,0:08:21.620000,0:08:18.901000,0:08:21.620000
And get ready to smash.,スクワットして壊していくよ～。,Time: 0:08:21.620000,,0:08:21.620000,0:08:23.266000,0:08:21.620000,0:08:23.266000
"Squat, smash.",スマッシュ。,Time: 0:08:23.266000,,0:08:23.266000,0:08:24.278000,0:08:23.266000,0:08:24.278000
Excellent.,いいね。,Time: 0:08:24.278000,,0:08:24.278000,0:08:25,0:08:24.278000,0:08:25
"Okay, this is a really strong bridge.",この橋はすっごく手ごわいね。,Time: 0:08:25,,0:08:25,0:08:27.268000,0:08:25,0:08:27.268000
Spending maximum effort.,負けないよ～。,Time: 0:08:27.568000,,0:08:27.568000,0:08:28.796000,0:08:27.568000,0:08:28.796000
"Ready, squat.",いくよ、しゃがんで。,Time: 0:08:29.084000,,0:08:29.084000,0:08:30.568000,0:08:29.084000,0:08:30.568000
Boom.,バン！,Time: 0:08:31.027000,,0:08:31.027000,0:08:31.509000,0:08:31.027000,0:08:31.509000
"Okay, not yet.",まだまだだね。,Time: 0:08:31.888000,,0:08:31.888000,0:08:33.221000,0:08:31.888000,0:08:33.221000
"Come on, everyone. We've gotta keep the fruit safe",もうちょっと！みんなとフルーツを守るために,Time: 0:08:33.379000,,0:08:33.379000,0:08:36,0:08:33.379000,0:08:36
and the Candyland residents,頑張っていくよ！,Time: 0:08:36.167000,,0:08:36.167000,0:08:37.938000,0:08:36.167000,0:08:37.938000
"Squat, smash.",しゃがんで、スマッシュ！,Time: 0:08:38.881000,,0:08:38.881000,0:08:40.390000,0:08:38.881000,0:08:40.390000
"That's it, keep it up.",その調子！,Time: 0:08:40.640000,,0:08:40.640000,0:08:42.318000,0:08:40.640000,0:08:42.318000
"Figure of eight, nice and controlled.",８の字を上手に描いて～。,Time: 0:08:42.422000,,0:08:42.422000,0:08:44.559000,0:08:42.422000,0:08:44.559000
Can't believe we have a Popsicle as a hammer.,アイスキャンディがハンマーなんて、,Time: 0:08:44.959000,,0:08:44.959000,0:08:47.056000,0:08:44.959000,0:08:47.056000
This is too cool.,すごすぎるよね。,Time: 0:08:47.102000,,0:08:47.102000,0:08:48.467000,0:08:47.102000,0:08:48.467000
"Here we go, it's starting to crumble.",ほら、崩れ始めたよ！,Time: 0:08:48.491000,,0:08:48.491000,0:08:50.437000,0:08:48.491000,0:08:50.437000
"That's it, keep it up.",もう少し！,Time: 0:08:50.477000,,0:08:50.477000,0:08:52.044000,0:08:50.477000,0:08:52.044000
And use all your strength.,全力で、,Time: 0:08:52.640000,,0:08:52.640000,0:08:54.617000,0:08:52.640000,0:08:54.617000
"Boom,",バーン！,Time: 0:08:54.617000,,0:08:54.617000,0:08:54.970000,0:08:54.617000,0:08:54.970000
nice.,いいね！,Time: 0:08:55.173000,,0:08:55.173000,0:08:56.151000,0:08:55.173000,0:08:56.151000
"Okay, one more time. Come on, it's almost there.",もう一回、頑張ろう。,Time: 0:08:56.415000,,0:08:56.415000,0:08:58.899000,0:08:56.415000,0:08:58.899000
We've almost broken it. Ready?,みんな、もうちょっとだよ！,Time: 0:08:59.036000,,0:08:59.036000,0:09:01.308000,0:08:59.036000,0:09:01.308000
"Yes, there it goes.",やった、できたよ。,Time: 0:09:02.113000,,0:09:02.113000,0:09:04.332000,0:09:02.113000,0:09:04.332000
"Great work, kids.",よく頑張ったね。,Time: 0:09:04.514000,,0:09:04.514000,0:09:05.602000,0:09:04.514000,0:09:05.602000
That biscuit bridge didn't stand a,手ごわいビスケットの橋だったのに、,Time: 0:09:05.936000,,0:09:05.936000,0:09:08.158000,0:09:05.936000,0:09:08.158000
And some would say that's how the biscuit crumbles.,みんな、よくあきらめずに戦えたね,Time: 0:09:08.158000,,0:09:08.158000,0:09:12.439000,0:09:08.158000,0:09:12.439000
Now that was a fruit-alicious adventure.,今回はフルーツいっぱいの冒険だったね！,Time: 0:09:12.775000,,0:09:12.775000,0:09:15.565000,0:09:12.775000,0:09:15.565000
But now it's time,今からは,Time: 0:09:15.784000,,0:09:15.784000,0:09:17.002000,0:09:15.784000,0:09:17.002000
to cool it.,リラックス,Time: 0:09:17.563000,,0:09:17.563000,0:09:18.123000,0:09:17.563000,0:09:18.123000
"For our first cool it exercise,",リラックスするために、,Time: 0:09:24.202000,,0:09:24.202000,0:09:25.589000,0:09:24.202000,0:09:25.589000
we're going to do sunshine breath.,サンシャイン呼吸を、するよ。,Time: 0:09:25.589000,,0:09:25.589000,0:09:27.019000,0:09:25.589000,0:09:27.019000
"So you can imagine you're a big, warm, bright sun.",大きくて、明るい太陽になったイメージをして。,Time: 0:09:27.529000,,0:09:27.529000,0:09:30.721000,0:09:27.529000,0:09:30.721000
"Sitting in a comfortable position, just like this,",こんなふうに、楽な姿勢で座ってね,Time: 0:09:31.247000,,0:09:31.247000,0:09:33.637000,0:09:31.247000,0:09:33.637000
you can breathe in through your nose.,はなからすって,Time: 0:09:33.637000,,0:09:33.637000,0:09:35.339000,0:09:33.637000,0:09:35.339000
Imagine you're that sun that's just getting bigger.,大きくなっていく太陽をイメージして～、,Time: 0:09:36.528000,,0:09:36.528000,0:09:38.804000,0:09:36.528000,0:09:38.804000
"And then as you breathe out through your mouth,",そして口から息をはこう。,Time: 0:09:38.804000,,0:09:38.804000,0:09:40.822000,0:09:38.804000,0:09:40.822000
you're going to spread your warm rays of sunshine all over.,あったかい太陽の光をみんなに届けてあげよう。,Time: 0:09:42.555000,,0:09:42.555000,0:09:46.016000,0:09:42.555000,0:09:46.016000
"Ready, kids? Let's go.",準備はいい？,Time: 0:09:46.016000,,0:09:46.016000,0:09:47.321000,0:09:46.016000,0:09:47.321000
In through your nose.,鼻から吸い込んで。,Time: 0:09:47.321000,,0:09:47.321000,0:09:48.514000,0:09:47.321000,0:09:48.514000
And then breathe out through your mouth.,口から息をはこう。,Time: 0:09:52.113000,,0:09:52.113000,0:09:53.336000,0:09:52.113000,0:09:53.336000
Imagine those rays spreading all around you.,みんなに太陽の光を届けるイメージで,Time: 0:09:56.680000,,0:09:56.680000,0:09:59.363000,0:09:56.680000,0:09:59.363000
Go again. In through your nose.,はなから吸って、,Time: 0:10:00.008000,,0:10:00.008000,0:10:01.281000,0:10:00.008000,0:10:01.281000
And out through your mouth.,はいて～。,Time: 0:10:05.509000,,0:10:05.509000,0:10:06.392000,0:10:05.509000,0:10:06.392000
Imagine the rays getting brighter and warmer each time you breathe out.,呼吸をするたび、太陽がよりあたたかくなってる事をイメージして。,Time: 0:10:10.025000,,0:10:10.025000,0:10:14.165000,0:10:10.025000,0:10:14.165000
Let's go again.,いくよ。,Time: 0:10:14.165000,,0:10:14.165000,0:10:15.015000,0:10:14.165000,0:10:15.015000
You can also send those sunshine rays to someone that you love.,太陽の光を自分の大切な人に届けてみよう。,Time: 0:10:22.979000,,0:10:22.979000,0:10:26.136000,0:10:22.979000,0:10:26.136000
In through your nose.,はなから吸って,Time: 0:10:26.136000,,0:10:26.136000,0:10:27.155000,0:10:26.136000,0:10:27.155000
And out through your mouth.,口から、はこう。,Time: 0:10:30.993000,,0:10:30.993000,0:10:31.876000,0:10:30.993000,0:10:31.876000
What a great way to calm your mind and body down.,心と体を落ち着かせるには最高の方法だね。,Time: 0:10:36.052000,,0:10:36.052000,0:10:38.681000,0:10:36.052000,0:10:38.681000
And you get to spread some sunshine around.,太陽の光をみんなに届けて～。,Time: 0:10:38.681000,,0:10:38.681000,0:10:40.897000,0:10:38.681000,0:10:40.897000
Excellent work.,よくやったね！,Time: 0:10:40.897000,,0:10:40.897000,0:10:41.723000,0:10:40.897000,0:10:41.723000
"For our final cool it exercise,",最後に、,Time: 0:10:42.555000,,0:10:42.555000,0:10:44.095000,0:10:42.555000,0:10:44.095000
we're going to do cat-cow breathing.,うし猫呼吸をするよ。,Time: 0:10:44.095000,,0:10:44.095000,0:10:45.974000,0:10:44.095000,0:10:45.974000
"To do that, we're going to go down onto all fours,",こんな風に、よつんばいに,Time: 0:10:46.021000,,0:10:46.021000,0:10:47.869000,0:10:46.021000,0:10:47.869000
just like this.,なって～,Time: 0:10:47.869000,,0:10:47.869000,0:10:48.442000,0:10:47.869000,0:10:48.442000
"And then when you breathe in through your nose,",はなから吸うとき、,Time: 0:10:49.380000,,0:10:49.380000,0:10:51.019000,0:10:49.380000,0:10:51.019000
you're going to arch your back and look up like a cow.,背中をそらして、うしみたいに上を見てみよう。,Time: 0:10:51.019000,,0:10:51.019000,0:10:53.908000,0:10:51.019000,0:10:53.908000
"And then when you breathe out through your mouth,",口から息をはくときは、,Time: 0:10:55.169000,,0:10:55.169000,0:10:56.924000,0:10:55.169000,0:10:56.924000
you're going to arch your back the other way like a cat.,猫みたいに、反対側に背中をそらすよ。,Time: 0:10:56.924000,,0:10:56.924000,0:10:59.682000,0:10:56.924000,0:10:59.682000
Super simple.,できるかな？,Time: 0:11:01.672000,,0:11:01.672000,0:11:02.406000,0:11:01.672000,0:11:02.406000
"Ready, kids? Let's go.",やってみよう！,Time: 0:11:02.633000,,0:11:02.633000,0:11:03.695000,0:11:02.633000,0:11:03.695000
Breathing in through your nose.,はなから息を吸って,Time: 0:11:03.732000,,0:11:03.732000,0:11:05.435000,0:11:03.732000,0:11:05.435000
And then all the way out through your mouth.,はいて。 背中を,Time: 0:11:08.276000,,0:11:08.276000,0:11:09.846000,0:11:08.276000,0:11:09.846000
Arch your back.,丸めて。,Time: 0:11:10.030000,,0:11:10.030000,0:11:10.601000,0:11:10.030000,0:11:10.601000
Remember to tuck your chin in.,顎もしっかりひっこめて,Time: 0:11:13.896000,,0:11:13.896000,0:11:15.137000,0:11:13.896000,0:11:15.137000
Let's try again.,もう一回。,Time: 0:11:15.137000,,0:11:15.137000,0:11:15.988000,0:11:15.137000,0:11:15.988000
In through your nose.,すって、,Time: 0:11:16.051000,,0:11:16.051000,0:11:16.975000,0:11:16.051000,0:11:16.975000
And out through your mouth.,口から、はこう。,Time: 0:11:19.905000,,0:11:19.905000,0:11:21.480000,0:11:19.905000,0:11:21.480000
You can close your eyes if you want to.,目を閉じても大丈夫だよ。,Time: 0:11:24.567000,,0:11:24.567000,0:11:26.417000,0:11:24.567000,0:11:26.417000
Ready?,いくよ！,Time: 0:11:26.417000,,0:11:26.417000,0:11:26.982000,0:11:26.417000,0:11:26.982000
In through your nose.,吸って、,Time: 0:11:27.073000,,0:11:27.073000,0:11:28.095000,0:11:27.073000,0:11:28.095000
And out through your mouth.,口から、はこう。,Time: 0:11:30.976000,,0:11:30.976000,0:11:32.862000,0:11:30.976000,0:11:32.862000
It's like a good stretch and breathing at the same time.,とてもいいストレッチだね。,Time: 0:11:36.205000,,0:11:36.205000,0:11:38.444000,0:11:36.205000,0:11:38.444000
In through your nose.,hanaから吸って,Time: 0:11:38.816000,,0:11:38.816000,0:11:39.861000,0:11:38.816000,0:11:39.861000
And out through your mouth.,口から、はこう。,Time: 0:11:42.724000,,0:11:42.724000,0:11:44.293000,0:11:42.724000,0:11:44.293000
"Excellent work, kids.",よく頑張ったね！,Time: 0:11:49.346000,,0:11:49.346000,0:11:50.723000,0:11:49.346000,0:11:50.723000
That's a great stretch to do any time.,いつしても、とてもいいストレッチだよ！,Time: 0:11:50.723000,,0:11:50.723000,0:11:52.998000,0:11:50.723000,0:11:52.998000
Well done.,してみてね。,Time: 0:11:52.998000,,0:11:52.998000,0:11:53.658000,0:11:52.998000,0:11:53.658000
"Now, remember to always keep an eye on your fruit.",みんな、フルーツ達がどこにも行かないように,Time: 0:11:54.660000,,0:11:54.660000,0:11:57.519000,0:11:54.660000,0:11:57.519000
You never know if they might wander off.,"フルーツから、目を離さないようにしてね,,,,,",Time: 0:11:57.519000,,0:11:57.519000,0:11:59.718000,0:11:57.519000,0:11:59.718000
See you soon.,またね！,Time: 0:11:59.991000,,0:11:59.991000,0:12:01.010000,0:11:59.991000,0:12:01.010000
"Break it, kids.","Break it, Kids.",Time: 0:12:01.052000,,0:12:01.052000,0:12:02.113000,0:12:01.052000,0:12:02.113000
"Break it, kids.","Break it, Kids.",Time: 0:12:03.370000,,0:12:03.370000,0:12:04.541000,0:12:03.370000,0:12:04.541000
