source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
"Okay, ready kids? Breathing in through your nose. Here we go. Trace that balloon",準備はいい？鼻から息を吸って、風船を書いて,Time: 0:09:53.336000,,0:09:53.336000,0:09:58.421000,0:09:53.336000,0:09:58.421000
"Hold your breath,",キープして、,Time: 0:10:03.216000,,0:10:03.216000,0:10:04.290000,0:10:03.216000,0:10:04.290000
and breathe out. Trace the string.,息をはいて、ひもをかくよ,Time: 0:10:05.298000,,0:10:05.298000,0:10:07.940000,0:10:05.298000,0:10:07.940000
"That's it, let's do it again. Here we go.",いい調子だよ！,Time: 0:10:10.401000,,0:10:10.401000,0:10:12.150000,0:10:10.401000,0:10:12.150000
"Breathing in, allow your belly to expand.",息を吸うとき、お腹をふくらませよう。,Time: 0:10:12.150000,,0:10:12.150000,0:10:14.815000,0:10:12.150000,0:10:14.815000
Hold your breath,とめて、,Time: 0:10:19.801000,,0:10:19.801000,0:10:21.783000,0:10:19.801000,0:10:21.783000
and breathing out. Relax your belly.,お腹の力を抜いて、はこう。,Time: 0:10:21.783000,,0:10:21.783000,0:10:23.984000,0:10:21.783000,0:10:23.984000
"That's it, let's keep going. Deep breath in",いいね。最後だよ。深呼吸して。,Time: 0:10:27.414000,,0:10:27.414000,0:10:31.353000,0:10:27.414000,0:10:31.353000
hold your breath.,とめて、,Time: 0:10:34.650000,,0:10:34.650000,0:10:35.503000,0:10:34.650000,0:10:35.503000
and breathe it all out.,口から、はこう。,Time: 0:10:37.755000,,0:10:37.755000,0:10:40.218000,0:10:37.755000,0:10:40.218000
That feels amazing. I hope you feel as ready as I do for what's next.,すごいリラックスできたね！次のセッションが楽しみ！,Time: 0:10:43.489000,,0:10:43.489000,0:10:47.494000,0:10:43.489000,0:10:47.494000
We managed to build an awesome mech and save the city. We couldn't have done it without your help.,かっこいいメカを作って、街を助けることができたよ。みんな本当にすごかったよ！,Time: 0:10:48.677000,,0:10:48.677000,0:10:53.404000,0:10:48.677000,0:10:53.404000
See you soon.,またね！,Time: 0:10:53.728000,,0:10:53.728000,0:10:54.440000,0:10:53.728000,0:10:54.440000
Break it kids!,Break it kids!,Time: 0:10:54.854000,,0:10:54.854000,0:10:55.895000,0:10:54.854000,0:10:55.895000
Break it kids!,Break it kids!,Time: 0:10:57.397000,,0:10:57.397000,0:10:58.882000,0:10:57.397000,0:10:58.882000
